Area,Year,Total Food for Area,Total Feed for Area
Afghanistan,2013,21471,1536
Albania,2013,6952,1319
Algeria,2013,63455,8706
Angola,2013,30121,18518
Antigua and Barbuda,2013,119,0
Argentina,2013,65063,15780
Armenia,2013,5862,1313
Australia,2013,43975,18471
Austria,2013,18167,6823
Azerbaijan,2013,15928,4234
Bahamas,2013,627,2
Bangladesh,2013,114184,6670
Barbados,2013,407,62
Belarus,2013,17445,20407
Belgium,2013,22268,11068
Belize,2013,424,128
Benin,2013,12473,4008
Bermuda,2013,103,3
Bolivia (Plurinational State of),2013,11027,2488
Bosnia and Herzegovina,2013,6994,1462
Botswana,2013,2224,48
Brazil,2013,312488,127479
Brunei Darussalam,2013,530,17
Bulgaria,2013,10224,2111
Burkina Faso,2013,18890,90
C?te d'Ivoire,2013,27057,1106
Cabo Verde,2013,651,70
Cambodia,2013,12421,1214
Cameroon,2013,30520,4332
Canada,2013,67893,52274
Central African Republic,2013,4185,2
Chad,2013,8194,207
Chile,2013,24642,8258
China,2013,2541768,702607
Colombia,2013,64621,12223
Congo,2013,5168,32
Costa Rica,2013,6642,1625
Croatia,2013,7404,4063
Cuba,2013,18823,8151
Cyprus,2013,1454,789
Czechia,2013,18524,5454
Democratic People's Republic of Korea,2013,22848,1632
Denmark,2013,11589,15671
Djibouti,2013,791,0
Dominica,2013,138,41
Dominican Republic,2013,14399,2480
Ecuador,2013,17149,2401
Egypt,2013,131916,30168
El Salvador,2013,6926,1429
Estonia,2013,2613,1251
Ethiopia,2013,66726,1370
Fiji,2013,1108,138
Finland,2013,11874,4309
France,2013,120542,45537
French Polynesia,2013,404,8
Gabon,2013,2535,502
Gambia,2013,1408,30
Georgia,2013,5635,903
Germany,2013,158473,60418
Ghana,2013,44967,9756
Greece,2013,23836,8906
Grenada,2013,122,28
Guatemala,2013,13791,1624
Guinea,2013,11423,1295
Guinea-Bissau,2013,1220,10
Guyana,2013,1062,621
Haiti,2013,8204,962
Honduras,2013,8263,830
Hungary,2013,14348,9287
Iceland,2013,604,214
India,2013,1238335,98258
Indonesia,2013,237826,19062
Iran (Islamic Republic of),2013,122793,23362
Iraq,2013,30961,6316
Ireland,2013,10643,7517
Israel,2013,14263,5050
Italy,2013,121163,32287
Jamaica,2013,3878,338
Japan,2013,153161,34952
Jordan,2013,8477,2503
Kazakhstan,2013,32695,14404
Kenya,2013,47401,1196
Kiribati,2013,135,0
Kuwait,2013,6123,1044
Kyrgyzstan,2013,8442,4085
Lao People's Democratic Republic,2013,8561,2035
Latvia,2013,3542,1222
Lebanon,2013,7408,1274
Lesotho,2013,1801,2
Liberia,2013,3310,70
Lithuania,2013,6340,3866
Luxembourg,2013,1218,293
Madagascar,2013,19488,1686
Malawi,2013,17215,8018
Malaysia,2013,31580,7412
Maldives,2013,559,0
Mali,2013,15737,1309
Malta,2013,826,177
Mauritania,2013,3894,177
Mauritius,2013,1589,205
Mexico,2013,166591,43530
Mongolia,2013,3280,422
Montenegro,2013,1502,346
Morocco,2013,47208,8468
Mozambique,2013,25077,3440
Myanmar,2013,51583,23326
Namibia,2013,2693,107
Nepal,2013,33509,3135
Netherlands,2013,35849,17983
New Caledonia,2013,367,51
New Zealand,2013,7603,3468
Nicaragua,2013,5358,655
Niger,2013,16267,1573
Nigeria,2013,228877,72046
Norway,2013,9707,5521
Oman,2013,5966,331
Pakistan,2013,180994,9511
Panama,2013,4524,1036
Paraguay,2013,8316,7314
Peru,2013,40447,7284
Philippines,2013,100429,12757
Poland,2013,70616,39451
Portugal,2013,21604,6445
Republic of Korea,2013,77125,20049
Republic of Moldova,2013,4643,3303
Romania,2013,43598,17199
Russian Federation,2013,253892,117021
Rwanda,2013,18547,0
Saint Kitts and Nevis,2013,56,0
Saint Lucia,2013,216,13
Saint Vincent and the Grenadines,2013,158,63
Samoa,2013,329,8
Sao Tome and Principe,2013,251,0
Saudi Arabia,2013,35912,23682
Senegal,2013,10653,76
Serbia,2013,14236,11163
Sierra Leone,2013,6144,1802
Slovakia,2013,7709,2413
Slovenia,2013,3700,795
Solomon Islands,2013,727,0
South Africa,2013,59621,10619
Spain,2013,81051,56543
Sri Lanka,2013,20550,530
Sudan,2013,42997,664
Suriname,2013,632,120
Swaziland,2013,1269,114
Sweden,2013,19719,6937
Switzerland,2013,15983,3567
Tajikistan,2013,8543,5549
Thailand,2013,78567,19122
The former Yugoslav Republic of Macedonia,2013,3482,886
Timor-Leste,2013,837,18
Togo,2013,6379,302
Trinidad and Tobago,2013,1773,176
Tunisia,2013,18479,4344
Turkey,2013,145101,35502
Turkmenistan,2013,7082,4972
Uganda,2013,40247,697
Ukraine,2013,79580,74170
United Arab Emirates,2013,13095,2349
United Kingdom,2013,122946,27033
United Republic of Tanzania,2013,54968,4168
United States of America,2013,641776,296863
Uruguay,2013,5316,2476
Uzbekistan,2013,47311,19934
Vanuatu,2013,370,12
Venezuela (Bolivarian Republic of),2013,39706,5756
Viet Nam,2013,105399,22712
Yemen,2013,18325,420
Zambia,2013,10180,816
Zimbabwe,2013,9524,262
